Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
0.5859,0.648,0.0,0.352,Mon Sep 17 22:24:09 +0000 2018,63,@CBSNews
0.4939,0.842,0.0,0.158,Mon Sep 17 22:24:01 +0000 2018,64,@CBSNews
0.4215,0.887,0.0,0.113,Mon Sep 17 22:23:59 +0000 2018,65,@CBSNews
0.3769,0.212,0.311,0.478,Mon Sep 17 22:23:58 +0000 2018,66,@CBSNews
-0.34,0.893,0.107,0.0,Mon Sep 17 22:23:54 +0000 2018,67,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:23:51 +0000 2018,68,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:23:49 +0000 2018,69,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:23:48 +0000 2018,70,@CBSNews
0.8979,0.602,0.0,0.398,Mon Sep 17 22:23:42 +0000 2018,71,@CBSNews
-0.128,0.927,0.073,0.0,Mon Sep 17 22:23:37 +0000 2018,72,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:26 +0000 2018,73,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:25 +0000 2018,74,@CBSNews
-0.4215,0.865,0.135,0.0,Mon Sep 17 22:23:24 +0000 2018,75,@CBSNews
-0.431,0.591,0.238,0.17,Mon Sep 17 22:23:22 +0000 2018,76,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:21 +0000 2018,77,@CBSNews
-0.8516,0.518,0.482,0.0,Mon Sep 17 22:23:20 +0000 2018,78,@CBSNews
-0.8425,0.639,0.361,0.0,Mon Sep 17 22:23:18 +0000 2018,79,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:14 +0000 2018,80,@CBSNews
-0.2023,0.733,0.151,0.116,Mon Sep 17 22:23:13 +0000 2018,81,@CBSNews
0.4438,0.636,0.111,0.253,Mon Sep 17 22:23:10 +0000 2018,82,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:03 +0000 2018,83,@CBSNews
-0.296,0.916,0.084,0.0,Mon Sep 17 22:23:03 +0000 2018,84,@CBSNews
0.0,1.0,0.0,0.0,Mon Sep 17 22:23:00 +0000 2018,85,@CBSNews
-0.128,0.927,0.073,0.0,Mon Sep 17 22:22:59 +0000 2018,86,@CBSNews
-0.25,0.714,0.286,0.0,Mon Sep 17 22:22:54 +0000 2018,87,@CBSNews
0.1779,0.282,0.31,0.408,Mon Sep 17 22:22:52 +0000 2018,88,@CBSNews
